id,name,bred_for,breed_group,weight,height,life_span,temperament,origin,image
253,Weimaraner,Large game trailing and versatile gundog,Sporting,25 - 41,58 - 69,12 - 15 years,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",Unknown,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg
254,Welsh Springer Spaniel,Flushing and retrieving birds,Sporting,16 - 25,43 - 48,12 - 15 years,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",Unknown,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg
256,West Highland White Terrier,"Fox, badger, vermin hunting",Terrier,7 - 10,25 - 28,15 - 20 years,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",Unknown,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg
257,Whippet,"Coursing, racing",Hound,11 - 16,46 - 56,12 - 15 years,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",Unknown,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg
258,White Shepherd,Unknown,Unknown,27 - 39,56 - 64,12 – 14 years,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",Unknown,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg
259,Wire Fox Terrier,"Vermin hunting, fox bolting",Unknown,7 - 9,33 - 41,13 – 14 years,"Fearless, Friendly, Bold, Keen, Alert, Quick",Unknown,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg
260,Wirehaired Pointing Griffon,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",Sporting,20 - 32,51 - 61,12 - 14 years,"Loyal, Gentle, Vigilant, Trainable, Proud",Unknown,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg
261,Wirehaired Vizsla,Unknown,Sporting,20 - 29,55 - 64,12 - 14 years,Unknown,Unknown,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg
262,Xoloitzcuintli,Unknown,Non-Sporting,4 - 14,25 - 58,12 - 14 years,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",Unknown,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg
264,Yorkshire Terrier,Small vermin hunting,Toy,2 - 3,20 - 23,12 - 16 years,"Bold, Independent, Confident, Intelligent, Courageous",Unknown,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg
